Sum of electric_vehicles_sold,Column Labels,,,,Bottom 3 makers,Column Labels,
,2023,Grand Total,,,,2023,Grand Total
Row Labels,2-Wheelers,,,,Row Labels,2-Wheelers,
OLA ELECTRIC,152583,152583,,,JITENDRA,8563,8563
OKINAWA,96945,96945,,,BEING,11018,11018
HERO ELECTRIC,88993,88993,,,PURE EV,11556,11556
Grand Total,338521,338521,,,Grand Total,31137,31137
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,Sum of electric_vehicles_sold,Column Labels,
,,,,,,2024,Grand Total
,,,,,Row Labels,2-Wheelers,
,,,,,BATTRE ELECTRIC,4841,4841
,,,,,REVOLT,7254,7254
,,,,,KINETIC GREEN,9585,9585
,,,,,Grand Total,21680,21680
,,,,,,,
,,,,,,,
Sum of electric_vehicles_sold,Column Labels,,,,,,
,2024,Grand Total,,,,,
Row Labels,2-Wheelers,,,,,,
OLA ELECTRIC,322489,322489,,,,,
TVS,180743,180743,,,,,
ATHER,107552,107552,,,,,
Grand Total,610784,610784,,,,,
